sample	drug	reproductive	colony
N1A3-1_gene_weighted_methylation.tsv	Decitabine	Sterile	1
N1A3-3_gene_weighted_methylation.tsv	Decitabine	Reproductive	1
N1B2-1_gene_weighted_methylation.tsv	Control	Sterile	1
N1B2-2_gene_weighted_methylation.tsv	Control	Reproductive	1
N1C2-1_gene_weighted_methylation.tsv	6_Aza	Reproductive	1
N1C2-4_gene_weighted_methylation.tsv	6_Aza	Sterile	1
N3A2-1_gene_weighted_methylation.tsv	Decitabine	Sterile	3
N3A2-3_gene_weighted_methylation.tsv	Decitabine	Reproductive	3
N3B1-1_gene_weighted_methylation.tsv	Control	Sterile	3
